feature_name,column_name,column_type,column_id
id,id,numeric,
Gender,Gender,categorical,
Age,Age,numeric,
Height,Height,numeric,
Weight,Weight,numeric,
family_history_with_overweight,family_history_with_overweight,categorical,
FAVC,FAVC,categorical,
FCVC,FCVC,numeric,
NCP,NCP,numeric,
CAEC,CAEC,categorical,
SMOKE,SMOKE,categorical,
CH2O,CH2O,numeric,
SCC,SCC,categorical,
FAF,FAF,numeric,
TUE,TUE,numeric,
CALC,CALC,categorical,
MTRANS,MTRANS,categorical,
target,NObeyesdad,categorical,
