feature_name,column_name,column_type,column_id
Area,Area,numeric,
Perimeter,Perimeter,numeric,
MajorAxisLength,MajorAxisLength,numeric,
MinorAxisLength,MinorAxisLength,numeric,
AspectRation,AspectRation,numeric,
Eccentricity,Eccentricity,numeric,
ConvexArea,ConvexArea,numeric,
EquivDiameter,EquivDiameter,numeric,
Extent,Extent,numeric,
Solidity,Solidity,numeric,
roundness,roundness,numeric,
Compactness,Compactness,numeric,
ShapeFactor1,ShapeFactor1,numeric,
ShapeFactor2,ShapeFactor2,numeric,
ShapeFactor3,ShapeFactor3,numeric,
ShapeFactor4,ShapeFactor4,numeric,
Class,Class,categorical,
