feature_name,column_name,column_id,column_type
hadm_id,hadm_id,0,numeric
gender,gender,1,categorical
age,age,2,numeric
LOSdays,LOSdays,3,numeric
admit_type,admit_type,4,categorical
admit_location,admit_location,5,categorical
AdmitDiagnosis,AdmitDiagnosis,6,categorical
insurance,insurance,7,categorical
religion,religion,8,categorical
marital_status,marital_status,9,categorical
ethnicity,ethnicity,10,categorical
NumCallouts,NumCallouts,11,numeric
NumDiagnosis,NumDiagnosis,12,numeric
NumProcs,NumProcs,13,numeric
AdmitProcedure,AdmitProcedure,14,categorical
NumCPTevents,NumCPTevents,15,numeric
NumInput,NumInput,16,numeric
NumLabs,NumLabs,17,numeric
NumMicroLabs,NumMicroLabs,18,numeric
NumNotes,NumNotes,19,numeric
NumOutput,NumOutput,20,numeric
NumRx,NumRx,21,numeric
NumProcEvents,NumProcEvents,22,numeric
NumTransfers,NumTransfers,23,numeric
NumChartEvents,NumChartEvents,24,numeric
ExpiredHospital,ExpiredHospital,25,categorical
TotalNumInteract,TotalNumInteract,26,numeric
LOSgroupNum,LOSgroupNum,27,numeric
