feature_name,column_name,column_type,column_id
zmean,zmean,numeric,
zsd,zsd,numeric,
zskew,zskew,numeric,
zkurt,zkurt,numeric,
zentropy,zentropy,numeric,
itot,itot,numeric,
imean,imean,numeric,
isd,isd,numeric,
iskew,iskew,numeric,
ikurt,ikurt,numeric,
ipcumzq10,ipcumzq10,numeric,
ipcumzq30,ipcumzq30,numeric,
ipcumzq50,ipcumzq50,numeric,
ipcumzq70,ipcumzq70,numeric,
ipcumzq90,ipcumzq90,numeric,
dtm,dtm,numeric,
aspect,aspect,numeric,
slope,slope,numeric,
SP3,SP3,categorical,
Set,Set,categorical,
