feature_name,column_name,column_type,column_id
Gender,Gender,ordinal,
First Name,First Name,ordinal,
Last Name,Last Name,ordinal,
City,City,ordinal,
State,State,ordinal,
Country,Country,ordinal,
Age,Age,numeric,
Annual Vacation Days,Annual Vacation Days,numeric,
Average Monthly Spend on Entertainment,Average Monthly Spend on Entertainment,numeric,
Number of Online Purchases in Last Month,Number of Online Purchases in Last Month,numeric,
Number of Charity Donations in Last Year,Number of Charity Donations in Last Year,numeric,
Average Weekly Exercise Hours,Average Weekly Exercise Hours,numeric,
Investment Portfolio Value,Investment Portfolio Value,numeric,
Health Consciousness Rating,Health Consciousness Rating,numeric,
Education Level,Education Level,numeric,
Average Daily Screen Time,Average Daily Screen Time,numeric,
Environmental Awareness Rating,Environmental Awareness Rating,numeric,
Social Media Influence Score,Social Media Influence Score,numeric,
Risk Tolerance in Investments,Risk Tolerance in Investments,numeric,
Number of Professional Trainings Attended,Number of Professional Trainings Attended,numeric,
Tech-Savviness Score,Tech-Savviness Score,numeric,
Financial Wellness Index,Financial Wellness Index,numeric,
Lifestyle Balance Score,Lifestyle Balance Score,numeric,
Entertainment Engagement Factor,Entertainment Engagement Factor,numeric,
Social Responsibility Index,Social Responsibility Index,numeric,
Work-Life Balance Indicator,Work-Life Balance Indicator,numeric,
Investment Risk Appetite,Investment Risk Appetite,numeric,
Eco-Consciousness Metric,Eco-Consciousness Metric,numeric,
Stress Management Score,Stress Management Score,numeric,
Time Management Skill,Time Management Skill,numeric,
Lifestyle Choice,Lifestyle Choice,categorical,
